"","logFC","logCPM","F","PValue","FDR"
"MSTRG.1337",-4.9262856926179,-0.0640309789137353,28.8975632700754,0.000101489513396517,0.0211180795608217
"MSTRG.5091",-0.96698901622227,4.72066546533209,41.3090466894631,0.000104576434151436,0.0214351912618214
"MSTRG.17633",1.59654198441497,6.84508965527745,41.2219006452495,0.000105409155129382,0.0214351912618214
"MSTRG.2754",-1.2115214327958,3.61349919357115,41.0557766698692,0.000107163605020323,0.021547109121783
"MSTRG.8746",-1.06761262913781,6.55855737582707,40.5464231488479,0.000112358581725601,0.0223406313331071
"MSTRG.20238",-1.42318651263175,3.94237566856287,40.2005845421181,0.000116208027037462,0.0228521169652239
"MSTRG.5673",1.17115580605072,4.14474679448605,40.0262825502862,0.000118153513895232,0.0229821427299476
"MSTRG.15545",-1.05010437042905,3.70577715114352,39.7223750889372,0.000121694796287621,0.0234164341888923
"MSTRG.16480",1.04229518303585,3.04031266139387,39.2057676826608,0.000128114653365782,0.0242359718194109
"MSTRG.5432",-2.2773644204686,2.52048688872757,39.1457186184526,0.000129801024873697,0.0242359718194109
"MSTRG.5220",-1.3678248285928,4.18993825116255,38.9993655626697,0.000130558631051686,0.0242359718194109
"MSTRG.5834",2.52027873842727,0.0637801293758991,33.9787465930825,0.000131371291784457,0.0242359718194109
"MSTRG.21622",0.817927750710266,7.79528389713481,38.673184941353,0.000134759968708593,0.0244582128873493
"MSTRG.18834",0.685061673745772,5.81143058023282,38.5748680278163,0.000136089054704297,0.0244582128873493
"MSTRG.693",1.7961655507964,5.83844415219461,38.5296360587246,0.000136706232814477,0.0244582128873493
"MSTRG.14895",-0.86833582914691,4.62502403521836,38.4332325102817,0.000138043000928878,0.0244582128873493
"MSTRG.1429",-2.09635262812157,3.7053064479024,38.1556771832684,0.000142083745081398,0.0245836691265751
"MSTRG.13342",1.23059554690661,5.71331932653205,38.1050344455065,0.000142615986051334,0.0245836691265751
"MSTRG.1682",1.44170474778381,2.99567343683806,38.1113797257689,0.00014287239950622,0.0245836691265751
"MSTRG.16528",1.30714076364144,4.52524456057634,37.9277504179112,0.000145224703709378,0.0246540435025204
"MSTRG.13671",-1.20555902196996,2.55363265042352,37.8981020359177,0.000146036804206044,0.0246540435025204
"MSTRG.7152",-0.973799564894223,3.56008875097161,37.6964151554171,0.000148709226058304,0.024870575703863
"MSTRG.10126",0.787698607137966,7.18036364460717,37.1201219538377,0.00015756320120961,0.0258825891065261
"MSTRG.18279",0.753501065211328,8.36984226993192,37.1145352053867,0.000157653099335644,0.0258825891065261
"MSTRG.5327",1.32040533709006,5.64635133115809,36.7063458410769,0.000164426419356446,0.0266176037479697
"MSTRG.17494",-0.955981328304306,4.08392466268837,36.6701151193403,0.00016510500229252,0.0266176037479697
"MSTRG.4810",-1.32587266424423,6.92361730394914,36.4157282004255,0.000169441533596749,0.0268661370336057
"MSTRG.9623",-1.26939678708836,6.9510375520652,36.3432038704997,0.000170725317541547,0.0268661370336057
"MSTRG.4547",1.43874419062746,9.71531649896962,36.319298404412,0.0001711505795938,0.0268661370336057
"MSTRG.14786",2.3978015717916,4.62457317966009,36.0884524923005,0.000175457741345917,0.0271207102159004
"MSTRG.17284",-1.02593582366457,4.89627549394814,36.0647195191408,0.000175803430290274,0.0271207102159004
